Date,Personal Finance Current,Personal Finance Expected,Business Condition 12 Months,Business Condition 5 Years,Buying Conditions,Current Index,Expected Index
4/30/2022,98,110,62,77,80,69.4,62.5
3/31/2022,93,93,51,72,80,67.2,54.3
2/28/2022,96,102,66,68,78,68.2,59.4
1/31/2022,106,114,67,75,79,72,64.1
12/31/2021,109,110,80,83,82,74.2,68.3
11/30/2021,110,106,73,73,79,73.6,63.5
10/31/2021,115,112,81,78,85,77.7,67.9
9/30/2021,116,112,84,76,90,80.1,68.1
8/31/2021,109,111,74,75,94,78.5,65.1
7/31/2021,116,120,109,88,102,84.5,79
6/30/2021,117,119,119,97,112,88.6,83.5
5/31/2021,120,113,110,93,111,89.4,78.8
4/30/2021,126,124,115,93,126,97.2,82.7
3/31/2021,112,118,108,94,128,93,79.7
2/28/2021,110,118,83,82,113,86.2,70.7
1/31/2021,109,121,87,88,115,86.7,74
12/31/2020,114,122,76,100,119,90,74.6
11/30/2020,111,122,75,85,114,87,70.5
10/31/2020,113,129,88,100,109,85.9,79.2
9/30/2020,113,127,83,92,114,87.8,75.6
8/31/2020,108,127,65,81,106,82.9,68.5
7/31/2020,108,123,60,80,106,82.8,65.9
6/30/2020,110,132,67,90,115,87.1,72.3
5/31/2020,107,117,58,88,105,82.3,65.9
4/30/2020,106,126,58,96,86,74.3,70.1
3/31/2020,128,124,83,112,141,103.7,79.7
2/29/2020,141,133,127,111,157,114.8,92.1
1/31/2020,134,133,121,110,163,114.4,90.5
12/31/2019,137,131,120,106,164,115.5,88.9
11/30/2019,134,131,116,105,156,111.6,87.3
10/31/2019,134,134,108,96,160,113.2,84.2
9/30/2019,131,128,109,98,150,108.5,83.4
8/31/2019,127,123,104,93,146,105.3,79.9
7/31/2019,131,137,122,106,156,110.7,90.5
6/30/2019,131,134,121,104,160,111.9,89.3
5/31/2019,134,135,130,112,151,110,93.5
4/30/2019,133,136,115,100,159,112.3,87.4
3/31/2019,138,131,124,102,156,113.3,88.8
2/28/2019,124,133,108,99,158,108.5,84.4
1/31/2019,127,131,92,97,155,108.8,79.9
12/31/2018,133,129,118,102,169,116.1,87
11/30/2018,130,129,117,109,161,112.3,88.1
10/31/2018,130,131,123,105,163,113.1,89.3
9/30/2018,135,135,123,106,164,115.2,90.5
8/31/2018,133,131,118,101,154,110.3,87.1
7/31/2018,133,134,116,101,164,114.4,87.3
6/30/2018,136,128,117,102,166,116.5,86.3
5/31/2018,130,129,122,108,160,111.8,89.1
4/30/2018,133,131,113,111,165,114.9,88.4
3/31/2018,142,132,120,105,173,121.2,88.8
2/28/2018,133,133,124,105,166,114.9,90
1/31/2018,126,131,121,95,160,110.5,86.3
12/31/2017,127,127,119,93,168,113.8,84.3
11/30/2017,127,132,123,103,168,113.5,88.9
10/31/2017,135,132,123,110,168,116.5,90.5
9/30/2017,128,133,110,97,162,111.7,84.4
8/31/2017,130,134,119,100,158,110.9,87.7
7/31/2017,132,122,111,89,163,113.4,80.5
6/30/2017,131,132,110,95,161,112.4,83.8
5/31/2017,126,129,119,105,164,111.7,87.7
4/30/2017,126,131,113,106,166,112.7,87
3/31/2017,132,128,116,103,162,113.2,86.5
2/28/2017,128,123,112,112,161,111.5,86.5
1/31/2017,124,130,121,112,165,111.3,90.3
12/31/2016,126,131,119,110,164,111.9,89.5
11/30/2016,117,126,109,107,162,107.3,85.2
10/31/2016,111,127,91,90,157,103.2,76.8
9/30/2016,113,126,104,101,158,104.2,82.7
8/31/2016,118,119,97,99,159,107,78.7
7/31/2016,121,126,91,95,162,109,77.8
6/30/2016,124,125,104,102,164,110.8,82.4
5/31/2016,123,128,107,106,162,109.9,84.9
4/30/2016,118,121,95,95,158,106.7,77.6
3/31/2016,119,127,100,100,155,105.6,81.5
2/29/2016,118,128,97,104,159,106.8,81.9
1/31/2016,110,124,107,102,166,106.4,82.7
12/31/2015,113,124,103,105,167,108.1,82.7
11/30/2015,111,122,106,105,160,104.3,82.9
10/31/2015,111,127,101,101,154,102.3,82.1
9/30/2015,111,121,100,93,151,101.2,78.2
8/31/2015,120,124,111,100,152,105.1,83.4
7/31/2015,116,122,115,101,161,107.2,84.1
6/30/2015,119,125,125,104,163,108.9,87.8
5/31/2015,111,123,113,102,150,100.8,84.2
4/30/2015,120,124,124,109,158,107,88.8
3/31/2015,117,122,116,105,155,105,85.3
2/28/2015,121,126,118,109,156,106.9,88
1/31/2015,121,122,132,112,162,109.3,91
12/31/2014,114,123,116,108,158,104.8,86.4
11/30/2014,108,116,104,100,158,102.7,79.9
