Date,Mean/Average,Most Bearish Response,Quart 1 (25% at/below),Quart 2 (median),Quart 3 (25% at/above),Most Bullish Response,Standard Deviation,NAAIM Number,S&P 500
11/5/2022,24.31,-100,0,4,50,200,58.81,24.31,3935.18
4/5/2022,31.76,-70,0,20,72.5,100,45.33,31.76,4300.17
27/04/2022,46.25,-100,5,50,73.375,200,69.22,46.25,4175.2
20/04/2022,74.05,16,50,80,93.75,112,28.88,74.05,4459.45
13/04/2022,63.29,-8,50,75,86.75,100,31.86,63.29,4446.59
6/4/2022,83.41,22,55,80,98.9375,200,40.35,83.41,4481.15
30/03/2022,79.72,40,62.5,80,100,105,21.67,79.72,4602.45
23/03/2022,52.69,-150,30,70,100,125,65.23,52.69,4456.24
16/03/2022,46.68,-100,0,50,85,200,60.48,46.68,4357.86
9/3/2022,42.58,-200,10,50,80,200,70.96,42.58,4170.7
2/3/2022,30.3,-200,0,50,75,100,72.26,30.3,4386.54
23/02/2022,44.41,-150,0,47,85,200,71.64,44.41,4225.5
16/02/2022,53.49,-200,30,65,80,200,72.38,53.49,4475.01
9/2/2022,66.8,0,37.5,85,100,121.25,40.53,66.8,4587.18
2/2/2022,62.54,0,20,60,90,200,49.17,62.54,4589.38
26/01/2022,53.39,-100,0,70,100,200,66.22,53.39,4349.93
19/01/2022,56.73,-125,20,75,91.25,200,76.22,56.73,4577.11
12/1/2022,74.78,-150,80,100,100,150,66.02,74.78,4726.35
5/1/2022,89.54,0,78.625,100,100,200,42,89.54,4700.58
29/12/2021,85.71,0,61.25,100,100,150,38.94,85.71,4793.06
22/12/2021,67.02,0,21.25,66.125,100,200,51.45,67.02,4696.56
15/12/2021,52.22,-100,11.5,50,100,200,61.89,52.22,4634.09
8/12/2021,69.46,-100,48.5,100,100,200,78.33,69.46,4701.21
1/12/2021,87.87,-17,60,100,100,200,59.91,87.87,4567
24/11/2021,103.14,0,97.5,100,112.4375,200,46.63,103.14,4690.7
17/11/2021,102.54,0,100,100,115.0625,200,47.38,102.54,4688.67
10/11/2021,103.69,15,97.25,100,109.25,200,43.41,103.69,4646.71
3/11/2021,107.99,50,89,100,108.5,200,37.31,107.99,4630.65
27/10/2021,103.35,65,85.0625,100,100,200,33.03,103.35,4551.68
20/10/2021,98.02,50,87.5,100,100,200,33.46,98.02,4519.63
13/10/2021,64.46,-100,47.5,82.5,100,115.25,52.37,64.46,4363.8
6/10/2021,68.6,0,25,60,100,200,51.09,68.6,4345.72
29/09/2021,55.02,-100,2.5,52.5,100,200,72.13,55.02,4359.46
22/09/2021,77.7,0,52.25,82.625,100,200,47.37,77.7,4354.19
15/09/2021,87.02,0,60,100,100,200,47.86,87.02,4480.7
8/9/2021,84.68,20,45,100,100,200,43.85,84.68,4520.03
1/9/2021,93.95,25,81.3125,100,100,200,39.24,93.95,4524.09
25/08/2021,92.83,20,80,100,100,200,37.95,92.83,4486.23
18/08/2021,70.57,-50,35,90,100,200,58.22,70.57,4400.27
11/8/2021,97.55,25,80,100,102.6875,200,38.54,97.55,4447.7
4/8/2021,97.72,25,85,100,105.375,200,41.16,97.72,4402.66
28/07/2021,78.39,-50,72.75,92.5,100,150,43.07,78.39,4400.64
21/07/2021,71.04,0,50,77,100,200,48.75,71.04,4358.69
14/07/2021,93.27,25,76.25,90,100,200,37.85,93.27,4374.3
7/7/2021,82.54,0,52.5,87.875,100,200,42.66,82.54,4358.13
30/06/2021,91.72,0,80.375,100,100,200,38.18,91.72,4297.5
23/06/2021,70.86,-50,57.5,80.375,100,130,42.79,70.86,4246.44
16/06/2021,98.52,50,80,100,103.88,200,34.16,98.52,4223.7
9/6/2021,79.65,0,60,100,100,150,38.92,79.65,4219.55
2/6/2021,82.27,0,60,100,100,150,35.83,82.27,4208.12
26/05/2021,68.3,0,55,80,99.5,100,35.12,68.3,4195.99
19/05/2021,44.21,0,6.25,45,71.25,110.75,35.25,44.21,4115.68
12/5/2021,46.86,-50,0,50,82.5,106.25,44.2,46.86,4063.04
5/5/2021,87.79,0,66.375,100,100,200,50,87.79,4167.59
28/04/2021,103.72,0,85.375,100,105,200,43.65,103.72,4183.18
21/04/2021,95.6,0,80.25,99,100,200,39.06,95.6,4173.42
14/04/2021,96.57,0,80,100,100,200,39.59,96.57,4124.66
7/4/2021,89.85,50,66,80,100,200,35.16,89.95,4079.95
31/03/2021,52.02,0,0,80,100,100,47.49,52.02,3972.89
24/03/2021,57.52,0,5,75,90,119.75,42.24,57.52,3889.14
17/03/2021,78.55,0,80,95,100,100,33.98,78.55,3974.12
10/3/2021,48.62,-100,0,75,97.5,100,54.1,48.62,3898.81
3/3/2021,65.37,-100,20,80,100,200,62.65,65.37,3819.72
24/02/2021,84.99,0,62.5,87.5,100,200,48.64,84.99,3925.43
17/02/2021,108.32,0,89.81,100,122.5,200,44.76,108.32,3931.33
10/2/2021,110.28,80,100,100,100,200,29.44,110.28,3909.88
3/2/2021,79.15,0,50,89.75,100,200,50.88,79.15,3830.17
27/01/2021,83.51,-50,70,89.75,100,200,53.82,83.51,3750.77
20/01/2021,112.93,75,100,100,119.75,200,36.46,112.93,3851.85
13/01/2021,106.76,50,89.81,100,107.5,200,39.85,106.76,3809.84
6/1/2021,94.51,0,80,100,101.25,200,39.11,94.51,3748.14
30/12/2020,82.97,0,65.25,88.25,100,200,47.07,82.97,3732.04
23/12/2020,89.11,0,80,100,100,200,44.19,89.11,3690.01
16/12/2020,101.47,0,88.75,100,116.13,200,42.33,101.47,3701.17
9/12/2020,106.11,0,89.88,100,100,200,40.98,106.11,3672.82
2/12/2020,103.17,0,90,100,100,200,38.9,103.17,3669.01
25/11/2020,106.74,0,86.5,100,130,200,44.54,106.74,3635.41
18/11/2020,106.41,-12,93.19,100,107.5,200,44.54,106.41,3567.79
11/11/2020,96.3,0,70,100,137.5,200,50.26,96.3,3572.66
4/11/2020,69.2,0,35,75,100,200,49.7,69.2,3443.44
28/10/2020,77.87,0,50,80,100,200,49.64,77.87,3271.03
21/10/2020,87.07,-6,80,100,100,200,42.48,87.07,3435.56
14/10/2020,102.93,0,92.38,100,100,200,41.56,102.93,3488.67
7/10/2020,73.05,-100,57.5,81.25,100,200,63.41,73.05,3419.45
30/09/2020,58.25,-100,0,65,100,200,62.62,58.25,3363
23/09/2020,55.3,-200,0,62.5,100,200,82.7,55.3,3236.92
16/09/2020,59.3,-100,0,65,100,200,71.73,59.3,3385.49
9/9/2020,53.09,-100,0,63,98.75,200,60.47,53.09,3398.96
2/9/2020,94.71,50,76,100,100,200,35.47,94.71,3580.84
26/08/2020,106.56,50,90,100,100,200,38.44,106.56,3478.73
19/08/2020,100.13,0,83.75,100,100,200,42.31,100.13,3374.85
12/8/2020,101.2,50,87.25,100,100,200,29.1,101.2,3380.35
5/8/2020,94.55,-5,87.5,100,100,200,49.4,94.55,3306.51
29/07/2020,97.44,17,87.25,100,100,200,36.13,97.44,3218.44
22/07/2020,97.88,50,75.75,100,100,200,33.91,97.88,3276.02
15/07/2020,90.53,0,61,100,100,200,49.38,90.53,3226.56
8/7/2020,85.09,0,52,87.5,100,200,50.49,85.09,3169.94
1/7/2020,71.47,-50,55,80,100,200,52.64,71.47,3115.86
24/06/2020,76.57,-15,50,75,100,200,43.91,76.57,3050.33
17/06/2020,88.25,11,74.25,94,100,200,37.33,88.25,3113.49
10/6/2020,77.48,-75,70,80,100,200,54.73,77.48,3190.14
3/6/2020,91.6,-20,80.5,100,105.5,150,36.69,91.6,3122.87
27/05/2020,81.65,0,50,76,100,200,43.17,81.65,3036.13
20/05/2020,63.22,-50,50,65,83.75,200,51.08,63.22,2971.61
13/05/2020,57.71,-9,20,50,76,200,49.3,57.71,2820
6/5/2020,67.95,0,47.5,66,85,200,41.07,67.95,2848.42
29/04/2020,78.55,-32,52.5,78,100,200,41.89,78.55,2939.51
22/04/2020,45.34,-100,0,50,80,200,57.95,45.34,2799.31
15/04/2020,28.71,-100,0,35,76,100,56.57,28.71,2783.36
8/4/2020,26.74,-100,0,25,40,100,44.54,26.74,2749.98
1/4/2020,23.67,-100,0,20.5,50,100,40.64,23.67,2470.5
25/03/2020,25.87,-32,0,15,50,100,34.05,25.87,2475.56
18/03/2020,10.65,-150,0,10,25,100,42.67,10.65,2398.1
11/3/2020,16.59,-200,0,10,39,100,58.88,16.59,2741.38
4/3/2020,29.03,-200,0,50,98.75,120,72.71,29.03,3130.12
26/02/2020,65.03,-100,20,75,100,200,69.72,65.03,3116.39
19/02/2020,87.91,0,74,99.38,100,200,35.15,87.91,3363.95
12/2/2020,86.08,0,72.5,100,100,200,37.59,86.08,3379.45
5/2/2020,62.49,-100,42.5,89.38,100,150,57.84,62.49,3334.69
29/01/2020,77.07,-100,59,100,100,200,57.93,77.07,3273.4
22/01/2020,93.75,39,90,100,100,150,21.13,93.75,3321.75
15/01/2020,89.47,0,75,100,100,150,37.35,89.47,3289.29
8/1/2020,94.16,0,90.75,100,100,200,40.66,94.16,3253.05
1/1/2020,86.99,17,75.75,100,100,137,32.42,86.99,3230.78
25/12/2019,97.44,0,99.69,100,100,140,29.16,97.44,3223.38
18/12/2019,98.9,13,94.38,100,100,200,35.82,98.9,3191.14
11/12/2019,78.71,-30,65,98.75,100,200,50.69,78.71,3141.63
4/12/2019,77.8,-30,36,99,100,200,56.13,77.8,3112.76
27/11/2019,76.66,0,60,90,100,150,41.28,76.66,3140.52
20/11/2019,78.23,-30,70,100,100,200,52.05,78.23,3108.46
13/11/2019,72.25,-30,52.5,85,100,200,49.68,72.25,3094.04
6/11/2019,92.26,0,78.5,94.38,100,200,35.5,92.26,3076.78
30/10/2019,88.94,-30,71.25,90,100,200,39.58,88.94,3046.77
23/10/2019,65.67,-15,50,75,100,125,38.35,65.67,3004.52
16/10/2019,57.08,-200,60,80,95.38,100,67.4,57.08,2989.69
9/10/2019,57.32,-100,30,75,90,200,57.1,57.32,2919.4
2/10/2019,57.39,-200,7.5,75,100,200,78.3,57.39,2940.25
25/09/2019,64.85,-50,31.25,75,97.5,200,53.22,64.85,2966.6
18/09/2019,77.09,-50,42.5,90,100,200,62.04,77.09,3006.73
11/9/2019,75.76,-50,44.5,80,100,200,58.2,75.76,3000.93
4/9/2019,56.15,-100,50,70,93.05,134,53.29,56.15,2937.78
28/08/2019,59.99,-100,37.5,70,100,200,66.01,59.99,2887.94
21/08/2019,70.18,-100,61,82.5,100,200,60.34,70.18,2900.51
14/08/2019,58.08,-50,0,80,100,134,49.29,58.08,2840.6
7/8/2019,56.59,-100,0,80,100,200,61.58,56.59,2883.98
31/07/2019,91.41,0,85,100,100,200,41.31,91.41,2980.38
24/07/2019,95.75,-20,90,100,100,200,37.93,95.75,3005.47
17/07/2019,81.85,-100,80,98.75,100,200,53.98,81.85,3004.04
10/7/2019,87.34,0,68.75,95,100,200,35.63,87.34,2979.63
3/7/2019,79.36,-30,68.75,92.5,100,150,37.46,79.36,2973.01
26/06/2019,72.28,-100,54.75,90,100,200,56.56,72.28,2913.78
19/06/2019,74.91,0,64.5,77.5,99.06,100,25.39,74.91,2926.46
12/6/2019,74.26,-30,52.5,81,99.69,150,36.67,74.26,2879.84
5/6/2019,54.99,-150,50,68,92.5,134,57.55,54.99,2826.15
29/05/2019,59.69,-200,46.5,75,100,200,76.66,59.69,2802.39
22/05/2019,70.07,-50,64.25,80,99.69,100,38.76,70.07,2856.27
15/05/2019,72.82,-100,64,87.5,100,200,54.45,72.82,2850.96
8/5/2019,82.02,-150,89,95,100,200,63.69,82.02,2879.42
1/5/2019,89.8,-30,72.5,90,100,200,43.11,89.8,2923.73
24/04/2019,92.43,-30,90,100,100,200,38.32,92.43,2927.25
17/04/2019,93.37,40,82,100,100,200,29.9,93.37,2900.45
10/4/2019,88.9,-30,65,100,100,200,44.35,88.9,2888.21
3/4/2019,91.92,9,80,100,100,200,37.44,91.92,2867.24
27/03/2019,61.69,-50,38.75,72.5,100,200,58.85,61.69,2805.37
20/03/2019,78.25,-50,62,90,100,200,57.44,78.25,2832.57
13/03/2019,77.4,-30,52.5,88.5,100,200,50.84,77.4,2810.92
6/3/2019,73.9,-30,52.5,83.5,98.75,200,51.87,73.9,2771.45
27/02/2019,79.33,-24,50,80,96.43,200,48.78,79.33,2792.38
20/02/2019,77.86,-20,57.5,80,98.5,200,46.58,77.86,2784.7
13/02/2019,82.01,-20,60,85,100,200,40.51,82.01,2744.73
6/2/2019,83.39,-8,60,92,100,200,42.17,83.39,2737.7
30/01/2019,76.33,0,52.5,80,100,200,46.03,76.33,2681.05
23/01/2019,72.84,-5,50,70,100,200,45.67,72.84,2638.7
16/01/2019,75.51,0,45,67.5,100,200,51.01,75.51,2616.1
9/1/2019,66.8,0,6,70,99.5,200,60.63,66.8,2584.96
2/1/2019,59.43,-25,10,60,100,200,53.3,59.43,2506.85
26/12/2018,47.59,0,0,40,82.5,200,50.7,47.59,2467.7
19/12/2018,31.96,-100,0,18,62.5,200,63.86,31.96,2506.96
12/12/2018,55.51,0,2.5,49.5,94.44,200,50.14,55.51,2651.07
5/12/2018,61.96,-100,27.5,75,100,200,61.26,61.96,2700.06
28/11/2018,53.21,0,19.25,50,92.81,120,39.99,53.21,2743.79
21/11/2018,30.55,-200,2.5,30,79,130,73.89,30.55,2641.89
14/11/2018,35.13,-100,7,45,60,107,48.37,35.13,2722.18
7/11/2018,64.96,0,50,80,85,100,33.59,64.96,2813.89
31/10/2018,61.47,0,45,62.5,85,130,38.96,61.47,2711.74
24/10/2018,51.49,-200,22.5,62.5,92.5,150,72.86,51.49,2656.1
18/10/2018,67.76,-5,50,70,100,200,45.19,67.76,2809.21
10/10/2018,52.86,-133,16.5,50,92.5,200,64.94,52.86,2785.68
3/10/2018,84.49,0,60.25,82.5,100,200,43.37,84.49,2925.51
26/09/2018,90.73,0,65,90,100,200,44.58,90.73,2905.97
19/09/2018,83.92,0,59.75,90,100,200,38.02,83.92,2907.95
12/9/2018,90.19,20,75,97,100,200,37.62,90.19,2888.92
5/9/2018,85.01,0,66.25,97.5,100,200,43.57,85.01,2888.6
29/08/2018,98.3,30,80,100,100,200,38.53,98.3,2914.04
22/08/2018,86.46,40,70,82.5,100,200,31.73,86.46,2861.82
