Date,Personal Finance Current,Personal Finance Expected,Business Condition 12 Months,Business Condition 5 Years,Buying Conditions,Current Index,Expected Index,Date,Mean/Average
4/30/2022,98,110,62,77,80,69.4,62.5,4/20/2022,44.0925
3/31/2022,93,93,51,72,80,67.2,54.3,3/23/2022,69.7775
2/28/2022,96,102,66,68,78,68.2,59.4,2/23/2022,40.9925
1/31/2022,106,114,67,75,79,72.0,64.1,1/26/2022,59.055
12/31/2021,109,110,80,83,82,74.2,68.3,12/29/2021,76.69
11/30/2021,110,106,73,73,79,73.6,63.5,11/3/2021,104.34
10/31/2021,115,112,81,78,85,77.7,67.9,10/6/2021,83.6075
9/30/2021,116,112,84,76,90,80.1,68.1,9/8/2021,76.105
8/31/2021,109,111,74,75,94,78.5,65.1,8/11/2021,88.725
7/31/2021,116,120,109,88,102,84.5,79.0,7/14/2021,85.105
6/30/2021,117,119,119,97,112,88.6,83.5,6/16/2021,85.91
5/31/2021,120,113,110,93,111,89.4,78.8,5/19/2021,68.6075
4/30/2021,126,124,115,93,126,97.2,82.7,4/21/2021,83.4925
3/31/2021,112,118,108,94,128,93.0,79.7,3/24/2021,73.99
2/28/2021,110,118,83,82,113,86.2,70.7,2/24/2021,69.3825
1/31/2021,109,121,87,88,115,86.7,74.0,1/27/2021,95.315
12/31/2020,114,122,76,100,119,90.0,74.6,12/30/2020,99.2925
11/30/2020,111,122,75,85,114,87.0,70.5,11/4/2020,94.6625
10/31/2020,113,129,88,100,109,85.9,79.2,10/7/2020,85.23
9/30/2020,113,127,83,92,114,87.8,75.6,9/9/2020,56.485
8/31/2020,108,127,65,81,106,82.9,68.5,8/12/2020,100.65
7/31/2020,108,123,60,80,106,82.8,65.9,7/15/2020,95.1
6/30/2020,110,132,67,90,115,87.1,72.3,6/17/2020,80.345
5/31/2020,107,117,58,88,105,82.3,65.9,5/20/2020,78.4875
4/30/2020,106,126,58,96,86,74.3,70.1,4/22/2020,62.3875
3/31/2020,128,124,83,112,141,103.7,79.7,3/25/2020,26.2475
