Monthly Date,QQQ Monthly Close
"Jun 17, 2022",274.69
"Jun 01, 2022",274.69
"May 01, 2022",308.28
"Apr 01, 2022",313.25
"Mar 01, 2022",362.54
"Feb 01, 2022",346.80
"Jan 01, 2022",363.05
"Dec 01, 2021",397.85
"Nov 01, 2021",393.82
"Oct 01, 2021",386.11
"Sep 01, 2021",357.96
"Aug 01, 2021",379.95
"Jul 01, 2021",364.57
"Jun 01, 2021",354.43
"May 01, 2021",333.93
"Apr 01, 2021",337.99
"Mar 01, 2021",319.13
"Feb 01, 2021",314.14
"Jan 01, 2021",314.56
"Dec 01, 2020",313.74
"Nov 01, 2020",299.62
"Oct 01, 2020",269.38
"Sep 01, 2020",277.84
"Aug 01, 2020",294.88
"Jul 01, 2020",265.79
"Jun 01, 2020",247.60
"May 01, 2020",233.36
"Apr 01, 2020",218.91
"Mar 01, 2020",190.40
"Feb 01, 2020",205.80
"Jan 01, 2020",219.07
"Dec 01, 2019",212.61
"Nov 01, 2019",205.10
"Oct 01, 2019",197.08
"Sep 01, 2019",188.81
"Aug 01, 2019",187.47
"Jul 01, 2019",191.10
"Jun 01, 2019",186.74
"May 01, 2019",173.95
"Apr 01, 2019",189.54
"Mar 01, 2019",179.66
"Feb 01, 2019",173.19
"Jan 01, 2019",168.16
"Dec 01, 2018",154.26
"Nov 01, 2018",169.37
"Oct 01, 2018",169.82
"Sep 01, 2018",185.79
"Aug 01, 2018",186.65
"Jul 01, 2018",176.45
"Jun 01, 2018",171.65
"May 01, 2018",170.07
"Apr 01, 2018",160.94
"Mar 01, 2018",160.13
"Feb 01, 2018",167.21
"Jan 01, 2018",169.40
"Dec 01, 2017",155.76
"Nov 01, 2017",155.15
"Oct 01, 2017",152.15
"Sep 01, 2017",145.45
"Aug 01, 2017",146.20
"Jul 01, 2017",143.23
"Jun 01, 2017",137.64
"May 01, 2017",141.29
"Apr 01, 2017",135.99
"Mar 01, 2017",132.38
"Feb 01, 2017",130.02
"Jan 01, 2017",124.57
"Dec 01, 2016",118.48
"Nov 01, 2016",117.50
"Oct 01, 2016",116.99
"Sep 01, 2016",118.72
"Aug 01, 2016",116.44
"Jul 01, 2016",115.23
"Jun 01, 2016",107.54
"May 01, 2016",110.34
"Apr 01, 2016",105.72
"Mar 01, 2016",109.20
"Feb 01, 2016",102.50
"Jan 01, 2016",104.13
"Dec 01, 2015",111.86
"Nov 01, 2015",114.02
"Oct 01, 2015",113.33
"Sep 01, 2015",101.76
"Aug 01, 2015",104.31
"Jul 01, 2015",111.95
"Jun 01, 2015",107.07
"May 01, 2015",110.05
"Apr 01, 2015",107.63
"Mar 01, 2015",105.60
"Feb 01, 2015",108.40
"Jan 01, 2015",101.10
"Dec 01, 2014",103.25
"Nov 01, 2014",106.01
"Oct 01, 2014",101.40
"Sep 01, 2014",98.79
"Aug 01, 2014",99.78
"Jul 01, 2014",95.02
"Jun 01, 2014",93.91
"May 01, 2014",91.31
"Apr 01, 2014",87.39
"Mar 01, 2014",87.67
"Feb 01, 2014",90.34
"Jan 01, 2014",86.27
"Dec 01, 2013",87.96
"Nov 01, 2013",85.73
"Oct 01, 2013",82.79
"Sep 01, 2013",78.88
"Aug 01, 2013",75.47
"Jul 01, 2013",75.77
"Jun 01, 2013",71.27
"May 01, 2013",73.25
"Apr 01, 2013",70.72
"Mar 01, 2013",68.97
"Feb 01, 2013",67.10
"Jan 01, 2013",66.87
"Dec 01, 2012",65.13
"Nov 01, 2012",65.80
"Oct 01, 2012",64.95
"Sep 01, 2012",68.57
"Aug 01, 2012",68.16
"Jul 01, 2012",64.80
"Jun 01, 2012",64.16
"May 01, 2012",62.06
"Apr 01, 2012",66.76
"Mar 01, 2012",67.55
"Feb 01, 2012",64.41
"Jan 01, 2012",60.53
"Dec 01, 2011",55.83
"Nov 01, 2011",56.39
"Oct 01, 2011",57.95
"Sep 01, 2011",52.49
"Aug 01, 2011",55.06
"Jul 01, 2011",58.00
"Jun 01, 2011",57.05
"May 01, 2011",58.36
"Apr 01, 2011",59.08
"Mar 01, 2011",57.43
"Feb 01, 2011",57.77
"Jan 01, 2011",56.00
"Dec 01, 2010",54.46
"Nov 01, 2010",52.09
"Oct 01, 2010",52.18
"Sep 01, 2010",49.07
"Aug 01, 2010",43.46
"Jul 01, 2010",45.81
"Jun 01, 2010",42.71
"May 01, 2010",45.60
"Apr 01, 2010",49.24
"Mar 01, 2010",48.16
"Feb 01, 2010",44.76
"Jan 01, 2010",42.79
"Dec 01, 2009",45.75
"Nov 01, 2009",43.56
"Oct 01, 2009",40.96
"Sep 01, 2009",42.25
"Aug 01, 2009",40.03
"Jul 01, 2009",39.45
"Jun 01, 2009",36.38
"May 01, 2009",35.38
"Apr 01, 2009",34.28
"Mar 01, 2009",30.32
"Feb 01, 2009",27.53
"Jan 01, 2009",29.06
"Dec 01, 2008",29.74
"Nov 01, 2008",29.12
"Oct 01, 2008",32.89
"Sep 01, 2008",38.91
"Aug 01, 2008",46.12
"Jul 01, 2008",45.46
"Jun 01, 2008",45.17
"May 01, 2008",50.01
"Apr 01, 2008",47.21
"Mar 01, 2008",43.72
"Feb 01, 2008",42.95
"Jan 01, 2008",45.13
"Dec 01, 2007",51.22
"Nov 01, 2007",51.31
"Oct 01, 2007",55.03
"Sep 01, 2007",51.41
"Aug 01, 2007",48.87
"Jul 01, 2007",47.53
"Jun 01, 2007",47.60
"May 01, 2007",47.41
"Apr 01, 2007",45.96
"Mar 01, 2007",43.53
"Feb 01, 2007",43.33
"Jan 01, 2007",44.07
"Dec 01, 2006",43.16
"Nov 01, 2006",44.04
"Oct 01, 2006",42.58
"Sep 01, 2006",40.65
"Aug 01, 2006",38.87
"Jul 01, 2006",37.10
"Jun 01, 2006",38.77
"May 01, 2006",38.82
"Apr 01, 2006",41.85
"Mar 01, 2006",41.93
"Feb 01, 2006",41.10
"Jan 01, 2006",42.00
