Daily Date,SPY Daily Close
"Jun 17, 2022",365.86
"Jun 16, 2022",366.65
"Jun 15, 2022",379.20
"Jun 14, 2022",373.87
"Jun 13, 2022",375.00
"Jun 10, 2022",389.80
"Jun 09, 2022",401.44
"Jun 08, 2022",411.22
"Jun 07, 2022",415.74
"Jun 06, 2022",411.79
"Jun 03, 2022",410.54
"Jun 02, 2022",417.39
"Jun 01, 2022",409.59
"May 31, 2022",412.93
"May 27, 2022",415.26
"May 26, 2022",405.31
"May 25, 2022",397.37
"May 24, 2022",393.89
"May 23, 2022",396.92
"May 20, 2022",389.63
"May 19, 2022",389.46
"May 18, 2022",391.86
"May 17, 2022",408.32
"May 16, 2022",400.09
"May 13, 2022",401.72
"May 12, 2022",392.34
"May 11, 2022",392.75
"May 10, 2022",399.09
"May 09, 2022",398.17
"May 06, 2022",411.34
"May 05, 2022",413.81
"May 04, 2022",429.06
"May 03, 2022",416.38
"May 02, 2022",414.48
"Apr 29, 2022",412.00
"Apr 28, 2022",427.81
"Apr 27, 2022",417.27
"Apr 26, 2022",416.10
"Apr 25, 2022",428.51
"Apr 22, 2022",426.04
"Apr 21, 2022",438.06
"Apr 20, 2022",444.71
"Apr 19, 2022",445.04
"Apr 18, 2022",437.97
"Apr 14, 2022",437.79
"Apr 13, 2022",443.31
"Apr 12, 2022",438.29
"Apr 11, 2022",439.92
"Apr 08, 2022",447.57
"Apr 07, 2022",448.77
"Apr 06, 2022",446.52
"Apr 05, 2022",451.03
"Apr 04, 2022",456.80
"Apr 01, 2022",452.92
"Mar 31, 2022",451.64
"Mar 30, 2022",458.70
"Mar 29, 2022",461.55
"Mar 28, 2022",455.91
"Mar 25, 2022",452.69
"Mar 24, 2022",450.49
"Mar 23, 2022",443.80
"Mar 22, 2022",449.59
"Mar 21, 2022",444.39
"Mar 18, 2022",444.52
"Mar 17, 2022",441.07
"Mar 16, 2022",435.62
"Mar 15, 2022",426.17
"Mar 14, 2022",417.00
"Mar 11, 2022",420.07
"Mar 10, 2022",425.48
"Mar 09, 2022",427.41
"Mar 08, 2022",416.25
"Mar 07, 2022",419.43
"Mar 04, 2022",432.17
"Mar 03, 2022",435.71
"Mar 02, 2022",437.89
"Mar 01, 2022",429.98
"Feb 28, 2022",436.63
"Feb 25, 2022",437.75
"Feb 24, 2022",428.30
"Feb 23, 2022",421.95
"Feb 22, 2022",429.57
"Feb 18, 2022",434.23
"Feb 17, 2022",437.06
"Feb 16, 2022",446.60
"Feb 15, 2022",446.10
"Feb 14, 2022",439.02
"Feb 11, 2022",440.46
"Feb 10, 2022",449.32
"Feb 09, 2022",457.54
"Feb 08, 2022",450.94
"Feb 07, 2022",447.26
"Feb 04, 2022",448.70
"Feb 03, 2022",446.60
"Feb 02, 2022",457.35
"Feb 01, 2022",452.95
"Jan 31, 2022",449.91
"Jan 28, 2022",441.95
"Jan 27, 2022",431.24
"Jan 26, 2022",433.38
"Jan 25, 2022",434.47
"Jan 24, 2022",439.84
"Jan 21, 2022",437.98
"Jan 20, 2022",446.75
"Jan 19, 2022",451.75
"Jan 18, 2022",456.49
"Jan 14, 2022",464.72
"Jan 13, 2022",464.53
"Jan 12, 2022",471.02
"Jan 11, 2022",469.75
"Jan 10, 2022",465.51
"Jan 07, 2022",466.09
"Jan 06, 2022",467.94
"Jan 05, 2022",468.38
"Jan 04, 2022",477.55
"Jan 03, 2022",477.71
"Dec 31, 2021",474.96
"Dec 30, 2021",476.16
"Dec 29, 2021",477.48
"Dec 28, 2021",476.87
"Dec 27, 2021",477.26
"Dec 23, 2021",470.60
"Dec 22, 2021",467.69
"Dec 21, 2021",463.06
"Dec 20, 2021",454.98
"Dec 17, 2021",459.87
"Dec 16, 2021",466.45
"Dec 15, 2021",470.60
"Dec 14, 2021",463.36
"Dec 13, 2021",466.57
"Dec 10, 2021",470.74
"Dec 09, 2021",466.35
"Dec 08, 2021",469.52
"Dec 07, 2021",468.28
"Dec 06, 2021",458.79
"Dec 03, 2021",453.42
"Dec 02, 2021",457.40
"Dec 01, 2021",450.50
"Nov 30, 2021",455.56
"Nov 29, 2021",464.60
"Nov 26, 2021",458.97
"Nov 24, 2021",469.44
"Nov 23, 2021",468.19
"Nov 22, 2021",467.57
"Nov 19, 2021",468.89
"Nov 18, 2021",469.73
"Nov 17, 2021",468.14
"Nov 16, 2021",469.28
"Nov 15, 2021",467.43
"Nov 12, 2021",467.27
"Nov 11, 2021",463.77
"Nov 10, 2021",463.62
"Nov 09, 2021",467.38
"Nov 08, 2021",468.93
"Nov 05, 2021",468.53
"Nov 04, 2021",466.91
"Nov 03, 2021",464.72
"Nov 02, 2021",461.90
"Nov 01, 2021",460.04
"Oct 29, 2021",459.25
"Oct 28, 2021",458.32
"Oct 27, 2021",453.94
"Oct 26, 2021",455.96
"Oct 25, 2021",455.55
"Oct 22, 2021",453.12
"Oct 21, 2021",453.59
"Oct 20, 2021",452.41
"Oct 19, 2021",450.64
"Oct 18, 2021",447.19
"Oct 15, 2021",445.87
"Oct 14, 2021",442.50
"Oct 13, 2021",435.18
"Oct 12, 2021",433.62
"Oct 11, 2021",434.69
"Oct 08, 2021",437.86
"Oct 07, 2021",438.66
"Oct 06, 2021",434.90
"Oct 05, 2021",433.10
"Oct 04, 2021",428.64
"Oct 01, 2021",434.24
"Sep 30, 2021",429.14
"Sep 29, 2021",434.45
"Sep 28, 2021",433.72
"Sep 27, 2021",442.64
"Sep 24, 2021",443.91
"Sep 23, 2021",443.18
"Sep 22, 2021",437.86
"Sep 21, 2021",433.63
"Sep 20, 2021",434.04
"Sep 17, 2021",441.40
"Sep 16, 2021",447.17
"Sep 15, 2021",447.88
"Sep 14, 2021",444.17
"Sep 13, 2021",446.58
"Sep 10, 2021",445.44
"Sep 09, 2021",448.98
"Sep 08, 2021",450.91
"Sep 07, 2021",451.46
"Sep 03, 2021",453.08
"Sep 02, 2021",453.19
"Sep 01, 2021",451.80
"Aug 31, 2021",451.56
"Aug 30, 2021",452.23
"Aug 27, 2021",450.25
"Aug 26, 2021",446.26
"Aug 25, 2021",448.91
"Aug 24, 2021",447.97
"Aug 23, 2021",447.26
"Aug 20, 2021",443.36
"Aug 19, 2021",439.86
"Aug 18, 2021",439.18
"Aug 17, 2021",444.04
"Aug 16, 2021",446.97
"Aug 13, 2021",445.92
"Aug 12, 2021",445.11
"Aug 11, 2021",443.78
"Aug 10, 2021",442.68
"Aug 09, 2021",442.13
"Aug 06, 2021",442.49
"Aug 05, 2021",441.76
"Aug 04, 2021",438.98
"Aug 03, 2021",441.15
"Aug 02, 2021",437.59
"Jul 30, 2021",438.51
"Jul 29, 2021",440.65
"Jul 28, 2021",438.83
"Jul 27, 2021",439.01
"Jul 26, 2021",441.02
"Jul 23, 2021",439.94
"Jul 22, 2021",435.46
"Jul 21, 2021",434.55
"Jul 20, 2021",431.06
"Jul 19, 2021",424.97
"Jul 16, 2021",431.34
"Jul 15, 2021",434.75
"Jul 14, 2021",436.24
"Jul 13, 2021",435.59
"Jul 12, 2021",437.08
"Jul 09, 2021",435.52
"Jul 08, 2021",430.92
"Jul 07, 2021",434.46
"Jul 06, 2021",432.93
"Jul 02, 2021",433.72
"Jul 01, 2021",430.43
"Jun 30, 2021",428.06
"Jun 29, 2021",427.70
"Jun 28, 2021",427.47
