Daily Date,SPY Daily Close,SPY Daily Open,SPY Daily High,SPY Daily Low,SPY Daily Adj Close*,QQQ Daily Close,QQQ Daily Open,QQQ Daily High,QQQ Daily Low,QQQ Daily Adj Close*
"Jun 17, 2022",365.86,365.51,369.38,362.17,365.86,274.69,272.18,277.19,270.51,274.69
"Jun 16, 2022",366.65,Dividend,370.94,364.08,365.07,271.39,275.59,276.06,269.28,271.39
"Jun 15, 2022",379.20,370.51,383.90,372.12,377.57,282.80,279.42,286.83,276.61,282.80
"Jun 14, 2022",373.87,377.36,377.94,370.59,372.26,275.91,277.66,278.66,273.34,275.91
"Jun 13, 2022",375.00,376.85,381.81,373.30,373.39,275.41,279.75,282.34,274.53,275.41
"Jun 10, 2022",389.80,379.85,395.78,389.75,388.12,288.84,293.65,294.87,288.38,288.84
"Jun 09, 2022",401.44,394.88,411.74,401.44,399.71,299.40,305.91,309.05,299.23,299.40
"Jun 08, 2022",411.22,409.34,415.82,410.38,409.45,307.64,309.05,311.72,306.77,307.64
"Jun 07, 2022",415.74,413.93,416.22,407.61,413.95,309.87,303.81,310.67,302.69,309.87
"Jun 06, 2022",411.79,408.10,416.61,410.55,410.02,307.22,310.75,312.35,305.62,307.22
"Jun 03, 2022",410.54,414.78,414.04,409.51,408.77,306.20,309.03,310.47,304.92,306.20
"Jun 02, 2022",417.39,412.40,417.44,407.04,415.59,314.38,304.85,314.56,303.40,314.38
"Jun 01, 2022",409.59,409.42,416.24,406.93,407.83,306.00,310.47,312.65,303.73,306.00
"May 31, 2022",412.93,415.17,416.46,410.03,411.15,308.28,309.07,311.33,304.33,308.28
"May 27, 2022",415.26,413.55,415.38,407.70,413.47,309.10,302.54,309.25,302.42,309.10
"May 26, 2022",405.31,407.91,407.04,398.45,403.57,299.33,290.44,300.92,290.15,299.33
"May 25, 2022",397.37,398.67,399.45,391.89,395.66,291.26,285.71,293.39,285.50,291.26
"May 24, 2022",393.89,392.31,395.15,386.96,392.20,287.24,288.13,288.86,282.25,287.24
"May 23, 2022",396.92,392.56,397.73,390.38,395.21,293.48,289.75,293.87,287.29,293.48
"May 20, 2022",389.63,392.83,397.03,380.54,387.95,288.68,293.13,293.80,280.21,288.68
"May 19, 2022",389.46,393.25,394.14,387.11,387.78,289.58,289.29,294.39,287.58,289.58
"May 18, 2022",391.86,388.62,403.80,390.55,390.17,291.14,301.54,302.25,289.85,291.14
"May 17, 2022",408.32,403.50,408.57,402.58,406.56,306.17,304.45,306.56,300.55,306.17
"May 16, 2022",400.09,406.53,403.97,397.60,398.37,298.44,300.15,302.26,297.13,298.44
"May 13, 2022",401.72,399.98,403.18,395.61,399.99,301.94,295.72,303.00,294.08,301.94
"May 12, 2022",392.34,396.71,395.80,385.15,390.65,291.15,287.45,295.75,284.94,291.15
"May 11, 2022",392.75,389.37,404.04,391.96,391.06,291.84,298.44,304.09,290.95,291.84
"May 10, 2022",399.09,398.07,406.08,394.82,397.37,300.76,304.51,305.76,296.57,300.76
"May 09, 2022",398.17,404.49,406.41,396.50,396.46,297.15,303.48,309.35,295.72,297.15
"May 06, 2022",411.34,405.10,414.80,405.73,409.57,309.25,310.95,315.09,305.11,309.25
"May 05, 2022",413.81,411.10,425.00,409.44,412.03,313.00,325.17,325.25,309.62,313.00
"May 04, 2022",429.06,424.55,429.66,413.71,427.21,329.60,319.31,330.29,313.89,329.60
"May 03, 2022",416.38,417.08,418.93,413.36,414.59,318.82,318.50,321.17,315.98,318.82
"May 02, 2022",414.48,415.01,415.92,405.02,412.70,318.48,312.83,318.72,309.65,318.48
"Apr 29, 2022",412.00,412.07,425.87,411.21,410.23,313.25,323.70,327.23,312.60,313.25
"Apr 28, 2022",427.81,423.59,429.64,417.60,425.97,328.01,321.85,329.89,317.52,328.01
"Apr 27, 2022",417.27,422.29,422.92,415.01,415.48,316.76,317.24,322.88,315.00,316.76
"Apr 26, 2022",416.10,417.24,426.04,416.07,414.31,317.14,327.47,327.66,316.86,317.14
"Apr 25, 2022",428.51,425.83,428.69,418.84,426.67,329.58,323.73,329.90,322.43,329.58
"Apr 22, 2022",426.04,423.67,438.08,425.44,424.21,325.40,334.31,335.56,324.96,325.40
"Apr 21, 2022",438.06,436.91,450.01,437.10,436.18,334.15,345.19,347.87,333.20,334.15
"Apr 20, 2022",444.71,448.54,447.57,443.48,442.80,341.21,347.09,347.56,339.96,341.21
"Apr 19, 2022",445.04,446.92,445.80,437.68,443.13,346.26,338.03,346.85,336.98,346.26
"Apr 18, 2022",437.97,437.86,439.75,435.61,436.09,338.69,337.35,341.04,335.79,338.69
"Apr 14, 2022",437.79,436.81,444.73,437.68,435.91,338.43,346.44,346.97,338.21,338.43
"Apr 13, 2022",443.31,443.55,444.11,437.84,441.40,346.35,339.80,347.43,339.06,346.35
"Apr 12, 2022",438.29,438.03,445.75,436.65,436.40,339.45,345.76,347.69,338.04,339.45
"Apr 11, 2022",439.92,443.08,445.00,439.39,438.03,340.89,344.81,345.75,340.54,340.89
"Apr 08, 2022",447.57,444.11,450.63,445.94,445.64,349.15,352.32,353.09,348.50,349.15
"Apr 07, 2022",448.77,447.97,450.69,443.53,446.84,354.10,352.24,356.35,348.69,354.10
"Apr 06, 2022",446.52,445.59,448.93,443.47,444.60,353.26,355.65,356.78,350.56,353.26
"Apr 05, 2022",451.03,446.89,457.83,449.82,449.09,361.10,367.81,368.54,359.93,361.10
"Apr 04, 2022",456.80,455.22,456.91,452.26,454.84,369.30,362.71,369.31,362.44,369.30
"Apr 01, 2022",452.92,453.13,453.46,449.14,450.97,361.85,362.81,363.61,358.59,361.85
"Mar 31, 2022",451.64,453.31,458.76,451.16,449.70,362.54,367.24,367.60,361.68,362.54
"Mar 30, 2022",458.70,457.89,461.20,456.47,456.73,367.09,369.28,370.98,365.57,367.09
"Mar 29, 2022",461.55,460.34,462.07,457.18,459.56,371.19,368.90,371.83,366.06,371.19
"Mar 28, 2022",455.91,460.02,455.91,450.06,453.95,364.91,359.34,365.01,358.07,364.91
"Mar 25, 2022",452.69,452.06,452.98,448.43,450.74,359.35,359.59,360.67,354.94,359.35
"Mar 24, 2022",450.49,451.16,450.50,444.76,448.55,359.65,353.80,359.70,351.59,359.65
"Mar 23, 2022",443.80,445.94,448.49,443.71,441.89,351.83,354.01,357.66,351.77,351.83
"Mar 22, 2022",449.59,446.91,450.58,445.86,447.66,356.96,350.59,357.85,350.20,356.96
"Mar 21, 2022",444.39,445.86,446.46,440.68,442.48,350.08,350.20,352.48,345.58,350.08
"Mar 18, 2022",444.52,444.34,444.86,437.22,442.61,351.49,Dividend,351.79,341.55,351.06
"Mar 17, 2022",441.07,438.00,441.07,433.19,437.81,344.44,342.74,344.50,337.04,344.01
"Mar 16, 2022",435.62,Dividend,435.68,424.80,432.40,340.32,338.37,340.44,328.40,339.90
"Mar 15, 2022",426.17,433.59,426.84,418.42,423.02,328.15,332.17,328.95,319.23,327.74
"Mar 14, 2022",417.00,429.89,424.55,415.79,413.92,318.17,320.88,326.59,317.45,317.78
"Mar 11, 2022",420.07,419.77,428.77,419.53,416.97,324.40,323.13,334.64,323.90,324.00
"Mar 10, 2022",425.48,420.89,426.43,420.44,422.34,331.27,334.32,332.51,326.71,330.86
"Mar 09, 2022",427.41,428.12,429.51,422.82,424.25,334.99,330.82,336.38,329.09,334.58
"Mar 08, 2022",416.25,422.52,427.21,415.12,413.18,323.35,331.75,333.21,319.94,322.95
"Mar 07, 2022",419.43,425.14,432.30,419.36,416.33,324.86,324.05,338.48,324.65,324.46
"Mar 04, 2022",432.17,419.62,433.37,427.88,428.98,337.30,337.29,341.31,334.92,336.88
"Mar 03, 2022",435.71,431.55,441.11,433.80,432.49,342.26,339.84,350.04,340.35,341.84
"Mar 02, 2022",437.89,431.75,439.72,431.57,434.66,347.22,349.93,348.59,340.24,346.79
"Mar 01, 2022",429.98,440.47,437.17,427.11,426.80,341.49,343.08,348.08,338.90,341.07
"Feb 28, 2022",436.63,432.37,438.20,430.70,433.41,346.80,345.75,348.54,341.32,346.37
"Feb 25, 2022",437.75,435.04,437.84,427.86,434.52,345.77,342.51,345.98,337.39,345.34
"Feb 24, 2022",428.30,432.03,428.76,410.64,425.14,340.49,341.31,341.04,318.26,340.07
"Feb 23, 2022",421.95,429.61,433.26,421.35,418.83,329.42,318.84,342.18,329.10,329.01
"Feb 22, 2022",429.57,411.02,435.50,425.86,426.40,338.08,341.32,344.04,334.35,337.66
"Feb 18, 2022",434.23,432.66,438.66,431.82,431.02,341.51,338.49,346.81,339.14,341.09
"Feb 17, 2022",437.06,431.89,446.57,436.42,433.83,345.45,346.41,353.46,345.02,345.02
"Feb 16, 2022",446.60,437.33,448.06,441.94,443.30,356.04,352.74,357.09,350.71,355.60
"Feb 15, 2022",446.10,443.22,446.28,443.18,442.81,356.13,353.82,356.37,351.82,355.69
"Feb 14, 2022",439.02,443.93,441.60,435.34,435.78,347.49,352.91,350.98,343.89,347.06
"Feb 11, 2022",440.46,443.73,451.61,438.94,437.21,347.06,346.49,360.07,345.80,346.63
"Feb 10, 2022",449.32,439.92,457.71,447.20,446.00,358.43,358.43,366.49,356.54,357.99
"Feb 09, 2022",457.54,449.41,457.88,455.01,454.16,366.73,359.52,366.81,362.12,366.28
"Feb 08, 2022",450.94,451.34,451.92,445.22,447.61,359.12,363.76,360.24,352.80,358.68
"Feb 07, 2022",447.26,455.22,450.99,445.85,443.96,355.13,353.96,361.05,353.84,354.69
"Feb 04, 2022",448.70,446.73,452.78,443.83,445.39,358.01,358.62,361.40,351.97,357.57
"Feb 03, 2022",446.60,449.51,452.97,445.71,443.30,353.55,354.08,361.93,352.46,353.11
"Feb 02, 2022",457.35,446.35,458.12,453.05,453.97,368.49,358.53,370.10,364.29,368.04
"Feb 01, 2022",452.95,450.95,453.63,446.94,449.61,365.52,369.76,366.19,359.14,365.07
"Jan 31, 2022",449.91,455.50,450.28,439.81,446.59,363.05,364.43,363.65,351.52,362.60
"Jan 28, 2022",441.95,450.68,442.00,427.82,438.69,351.80,353.20,352.02,337.95,351.37
"Jan 27, 2022",431.24,441.24,441.59,429.45,428.06,341.10,343.03,351.27,340.05,340.68
"Jan 26, 2022",433.38,432.68,444.04,428.86,430.18,344.57,349.40,356.88,340.78,344.14
"Jan 25, 2022",434.47,438.26,439.72,427.15,431.26,345.11,352.91,351.03,341.68,344.68
"Jan 24, 2022",439.84,440.72,440.38,420.76,436.59,353.30,346.67,353.98,334.15,352.86
"Jan 21, 2022",437.98,433.06,448.06,437.95,434.75,351.69,345.91,362.18,351.40,351.26
"Jan 20, 2022",446.75,432.03,458.74,444.50,443.45,361.72,359.47,373.87,361.17,361.27
"Jan 19, 2022",451.75,445.56,459.61,451.46,448.41,366.48,369.79,374.69,366.21,366.03
"Jan 18, 2022",456.49,453.75,459.96,455.31,453.12,370.55,372.15,376.22,369.77,370.09
"Jan 14, 2022",464.72,458.13,465.09,459.90,461.29,380.01,374.04,380.35,374.86,379.54
"Jan 13, 2022",464.53,459.74,472.88,463.44,461.10,377.66,375.07,389.47,376.70,377.19
"Jan 12, 2022",471.02,461.19,473.20,468.94,467.54,387.35,388.77,390.20,385.01,386.87
"Jan 11, 2022",469.75,472.19,469.85,462.05,466.28,385.82,388.46,385.99,377.22,385.34
"Jan 10, 2022",465.51,471.59,465.74,456.60,462.07,380.11,379.36,380.64,369.31,379.64
"Jan 07, 2022",466.09,465.23,469.20,464.65,462.65,379.86,374.82,385.76,378.04,379.39
"Jan 06, 2022",467.94,462.70,470.82,465.43,464.48,384.02,384.03,387.35,380.13,383.55
"Jan 05, 2022",468.38,467.95,477.98,468.28,464.92,384.29,382.42,395.89,384.03,383.82
"Jan 04, 2022",477.55,467.89,479.98,475.58,474.02,396.47,394.74,402.28,393.29,395.98
"Jan 03, 2022",477.71,477.16,477.85,473.85,474.18,401.68,402.24,401.94,396.88,401.18
"Dec 31, 2021",474.96,479.22,476.86,474.67,471.45,397.85,399.05,401.06,397.34,397.36
"Dec 30, 2021",476.16,476.30,479.00,475.67,472.64,400.35,399.66,403.57,399.75,399.86
"Dec 29, 2021",477.48,475.64,478.56,475.92,473.95,401.55,401.33,403.05,399.11,401.05
"Dec 28, 2021",476.87,477.93,478.81,476.06,473.35,401.61,401.75,404.58,400.71,401.11
"Dec 27, 2021",477.26,476.98,477.31,472.01,473.74,403.48,404.40,403.48,398.22,402.98
"Dec 23, 2021",470.60,477.72,472.19,468.64,467.12,396.92,398.25,398.43,394.14,396.43
"Dec 22, 2021",467.69,472.06,467.81,462.58,464.24,393.95,394.31,394.16,388.23,393.46
"Dec 21, 2021",463.06,468.75,463.21,456.31,459.64,389.21,388.91,389.53,380.20,388.73
"Dec 20, 2021",454.98,462.79,455.40,451.14,451.62,380.69,384.05,381.50,377.47,380.22
"Dec 17, 2021",459.87,458.61,464.74,458.06,456.47,384.91,379.57,389.19,381.77,383.94
"Dec 16, 2021",466.45,454.48,472.87,464.80,461.38,386.84,Dividend,398.48,385.21,385.87
"Dec 15, 2021",470.60,461.55,470.86,460.74,465.49,397.05,383.33,397.42,383.88,396.05
"Dec 14, 2021",463.36,Dividend,465.74,460.25,458.33,388.20,398.04,390.09,383.63,387.23
"Dec 13, 2021",466.57,472.57,470.56,466.27,461.50,392.26,387.94,398.33,391.88,391.28
"Dec 10, 2021",470.74,463.42,470.90,466.51,465.63,398.01,387.30,398.28,393.36,397.01
"Dec 09, 2021",466.35,463.09,469.63,466.14,461.29,393.73,398.00,400.20,393.53,392.74
"Dec 08, 2021",469.52,470.19,470.00,466.83,464.42,399.61,396.62,399.82,396.22,398.61
"Dec 07, 2021",468.28,469.23,468.88,458.65,463.19,397.83,398.35,398.46,392.99,396.83
"Dec 06, 2021",458.79,468.15,460.79,453.56,453.81,386.20,398.17,387.60,379.30,385.23
"Dec 03, 2021",453.42,468.70,460.30,448.92,448.50,383.13,393.03,392.34,378.90,382.17
"Dec 02, 2021",457.40,464.41,459.07,450.31,452.43,389.91,383.63,391.74,384.34,388.93
"Dec 01, 2021",450.50,456.13,464.67,450.29,445.61,387.12,391.31,400.48,386.64,386.15
"Nov 30, 2021",455.56,459.17,464.03,455.30,450.61,393.82,385.80,401.19,391.75,392.83
"Nov 29, 2021",464.60,450.73,466.56,461.73,459.55,399.69,398.28,400.73,395.14,398.69
"Nov 26, 2021",458.97,461.64,463.90,457.77,453.99,391.20,398.78,397.54,389.77,390.22
"Nov 24, 2021",469.44,462.00,469.57,465.19,464.34,398.76,395.89,399.05,392.54,397.76
"Nov 23, 2021",468.19,464.07,469.10,464.45,463.11,397.48,396.11,400.23,392.92,396.48
"Nov 22, 2021",467.57,462.34,473.54,467.35,462.49,399.30,394.93,408.71,399.19,398.30
"Nov 19, 2021",468.89,466.06,470.94,468.50,463.80,403.99,398.11,405.30,402.58,402.98
"Nov 18, 2021",469.73,467.22,470.01,466.34,464.63,401.75,405.57,402.27,397.45,400.74
"Nov 17, 2021",468.14,470.89,469.19,467.48,463.06,397.63,403.43,399.72,396.64,396.63
"Nov 16, 2021",469.28,469.61,470.49,467.07,464.18,397.42,399.73,397.93,393.66,396.42
"Nov 15, 2021",467.43,469.24,468.81,466.23,462.35,394.61,397.75,396.24,392.10,393.62
"Nov 12, 2021",467.27,469.00,467.86,464.11,462.20,394.70,393.86,395.25,390.13,393.71
"Nov 11, 2021",463.77,467.15,465.29,463.75,458.73,390.59,395.91,392.75,390.24,389.61
"Nov 10, 2021",463.62,468.64,467.38,462.04,458.59,389.51,391.77,395.36,387.53,388.53
